OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,17,0,2,0,18
1,PROXIMITY,15,0,1,0,19
1,DEGREE,15,0,1,0,19
1,PROTECTION,15,0,1,0,19
1,RANDOM,15,0,1,0,19
2,PROXIMITY,0,0,1,0,19
2,DEGREE,0,0,1,0,19
2,PROTECTION,0,0,1,0,19
2,RANDOM,0,0,1,0,19
2,NO DEFENCE,0,0,1,0,19
3,PROXIMITY,17,0,1,0,19
4,PROXIMITY,7,0,1,0,19
4,RANDOM,7,0,1,0,19
5,PROXIMITY,17,0,1,0,19
6,PROTECTION,15,0,1,0,19
7,PROXIMITY,19,0,1,0,19
7,DEGREE,19,0,1,0,19
8,PROXIMITY,15,0,1,0,19
9,RANDOM,15,0,3,0,17
10,PROXIMITY,0,0,1,0,19
10,DEGREE,0,0,1,0,19
10,PROTECTION,0,0,1,0,19
10,RANDOM,0,0,1,0,19
10,NO DEFENCE,0,0,1,0,19
11,PROXIMITY,0,0,1,0,19
11,DEGREE,0,0,1,0,19
11,PROTECTION,0,0,1,0,19
11,RANDOM,0,0,1,0,19
11,NO DEFENCE,0,0,1,0,19
12,PROXIMITY,0,0,1,0,19
12,DEGREE,0,0,1,0,19
12,PROTECTION,0,0,1,0,19
12,RANDOM,0,0,1,0,19
12,NO DEFENCE,0,0,1,0,19
13,PROTECTION,9,0,5,0,15
14,PROXIMITY,13,0,3,0,17
15,PROXIMITY,0,0,1,0,19
15,DEGREE,0,0,1,0,19
15,PROTECTION,0,0,1,0,19
15,RANDOM,0,0,1,0,19
15,NO DEFENCE,0,0,1,0,19
16,PROXIMITY,15,0,1,0,19
17,PROXIMITY,13,0,3,0,17
17,DEGREE,13,0,3,0,17
18,PROXIMITY,17,0,1,0,19
19,PROXIMITY,11,0,1,0,19

